Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity,No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,Solar Site Area (sqm),Status_Category,geometry
2541,12019652,12/04/2022,"SSE/Equinor (formerly Statoil, formerly Forewind)",Dogger Bank A & B (was Creyke Beck A & B),Wind Offshore,,,2400.0,,,AR3,,,2400.00,113.00,190,260.00,,Under Construction,Under Construction,,,125km off coast of Yorkshire,Offshore,Offshore,England,,629000,681000,The Planning Inspectorate - National Infrastructure,EN010021,,,,,03/01/1900,29/08/2013,,,,,,,17/02/2015,,,,,01/07/2021,,,,Under Construction,POINT (629000 681000)
2543,10754974,19/08/2020,RWE,Gwynt y Mor ,Wind Offshore,,,576.0,,,,,,,3.60,160,,,Operational,Operational,,,Liverpool Bay (13-15km offshore) ,Offshore,Offshore,Wales,,292082,396482,DECC (S36),,,,,,02/01/1900,01/11/2005,,,,,,,03/12/2008,,,,,01/03/2012,18/06/2015,,,Operational,POINT (292082 396482)
2544,11528891,03/10/2016,E.ON Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,Humber Gateway A,Wind Offshore,,,219.0,,,,,,,3.00,73,,,Operational,Operational,,,8km from Yorkshire Coast,Offshore,Offshore,England,,566400,390760,DECC (S36),,,,,,02/01/1900,01/04/2008,,,,,,,09/02/2011,,,,,30/08/2013,30/05/2015,,,Operational,POINT (566400 390760)
2545,11815594,05/04/2018,Orsted (formerly Dong Energy),Westermost Rough A,Wind Offshore,,,210.0,,,,,,,6.00,35,,,Operational,Operational,,,25 km north of Spurn Head at the River Humber estuary.,Offshore,Offshore,England,,571600,358680,DECC (S36),,,,,,02/01/1900,17/11/2009,,,,,,,29/11/2011,,,,,28/02/2014,26/05/2015,,,Operational,POINT (571600 358680)
2546,10621539,20/11/2017,Orsted (formerly Dong Energy),Barrow ,Wind Offshore,,,90.0,,,,,,,3.00,30,,,Operational,Operational,,,"7km Walney Island, near Barrow-in-Furness",Offshore,Offshore,England,,314978,455827,DECC (S36),,,,,,01/01/1900,10/05/2002,,,,,,,12/03/2003,,,,,01/05/2005,01/04/2006,,,Operational,POINT (314978 455827)
5867,12628697,01/04/2022,Scottish Power Renewables,East Anglia 2 (EA 2),Wind Offshore,,,900.0,,,AR6,,,963.07,12.00,75,282.00,,Planning Permission Granted,Awaiting Construction,,,37km offshore from Lowestoft,Offshore,Offshore,England,NR32,681603,321858,The Planning Inspectorate - National Infrastructure,EN010078,,,,,,15/10/2019,,,,,,,31/03/2022,,,,31/03/2029,,,,,Planned,POINT (681603 321858)
6158,12548990,27/10/2022,EDPR,Moray West Offshore Wind Farm Project,Wind Offshore,,,882.0,,No,AR6,,,73.50,14.70,60,230.00,,Under Construction,Under Construction,,,"Smith Bank, Moray Firth - 22.5 km off Lybster",Offshore,Offshore,Scotland,KW2,322637,909733,Marine Scotland,,,,,,,05/07/2018,,,,,,,14/06/2019,,,,13/06/2044,01/05/2022,,,,Under Construction,POINT (322637 909733)
6299,12263487,29/06/2020,Vattenfall,Thanet (extension),Wind Offshore,,,340.0,,,,,,,10.00,34,210.00,,Planning Permission Refused,Application Refused,,,"Thanet offshore windfarm, Dover, ",Offshore,Offshore,England,CT15,649878,175192,DECC (S36),,,,,,,27/06/2018,,01/06/2020,,,,,,,,,,,,,,Planned,POINT (649878 175192)
6483,12225109,22/12/2022,RWE Renewables UK Limited,The East Anglia Array - Norfolk Boreas,Wind Offshore,,,1400.0,,,AR4,,,1396.00,,,,,Planning Permission Granted,Awaiting Construction,,,"North Sea, off the East Anglia coast",Offshore,Offshore,England,,708047,312194,The Planning Inspectorate - National Infrastructure,EN010087,,,,,,11/06/2019,,,,,,,10/12/2021,,,,10/12/2026,,,,,Planned,POINT (708047 312194)
6501,11022914,20/08/2020,Orsted (formerly Dong Energy)/ Macquarie Group,Race Bank (Phase 2),Wind Offshore,,,283.5,,,,,,,6.30,45,154.00,,Operational,Operational,,,"Race Bank, Greater Wash",Offshore,Offshore,England,,573300,363000,DECC (S36),,,,,,,23/01/2009,,,,,,,,,,,,07/07/2016,01/02/2018,,,Operational,POINT (573300 363000)
6556,11857688,13/09/2022,RWE Renewables UK Limited,Sofia (Teesside B),Wind Offshore,,,1400.0,,,AR3,,,14.00,,100,252.00,,Under Construction,Under Construction,,,125km off coast of Yorkshire,Offshore,Offshore,England,,675550,599192,The Planning Inspectorate - National Infrastructure,EN010051,,,,,,28/03/2014,,,,,,,05/08/2015,,,,,01/03/2022,,,,Under Construction,POINT (675550 599192)
7691,12566043,11/01/2024,Equinor,Sheringham Extension Project,Wind Offshore,,,317.0,,,,,,,,27,326.00,,Planning Permission Granted,Awaiting Construction,,,"Offshore, to the north and east of Sheringham Shoal OFW.",Offshore,Offshore,England,,613032,366092,The Planning Inspectorate - National Infrastructure,EN010109,,,,,,05/09/2022,,,,,,,18/04/2024,,,,,,,,,Planned,POINT (613032 366092)
7692,12566043,11/01/2024,Equinor,Dudgeon Extension Project,Wind Offshore,,,402.0,,,,,,,,34,326.00,,Planning Permission Granted,Awaiting Construction,,,"Offshore, north and southeast of Dudgeon OFW",Offshore,Offshore,England,,613032,366092,The Planning Inspectorate - National Infrastructure,EN010109,,,,,,05/09/2022,,,,,,,18/04/2024,,,,,,,,,Planned,POINT (613032 366092)
7698,12627544,06/05/2025,RWE Renewables UK Limited,"Rampion Wind Farm (Extension), (Rampion 2)",Wind Offshore,,,1200.0,,,,,,,,90,325.00,,Planning Permission Granted,Awaiting Construction,,,"Rampion Wind Farm, East Quay, Newhaven",Offshore,Offshore,England,BN9,528790,83836,The Planning Inspectorate - National Infrastructure,EN010117,,,,,,10/08/2023,,,,,,,04/04/2025,,,,04/04/2032,,,,,Planned,POINT (528790 83836)
7699,12610038,20/09/2023,RWE Renewables,Awel y Mor Offshore Wind Farm,Wind Offshore,,,576.0,,No,,,,,,,332.00,,Planning Permission Granted,Awaiting Construction,,,"10.5 km off the coast of North Wales, To the west of, and immediately adjacent to, the Gwynt y Môr Offshore Wind Farm.",Offshore,Offshore,Wales,,280451,398028,The Planning Inspectorate - National Infrastructure,EN010112 ,,,,,,20/04/2022,,,,,,,20/09/2023,,,,20/09/2030,,,,,Planned,POINT (280451 398028)
7861,12533135,17/02/2023,Simply Blue Energy,Erebus - Floating Offshore Wind Demonstration Project,Wind Offshore,,,100.0,,,,,,,,10,150.00,,Planning Permission Granted,Awaiting Construction,,,Approximately 45 km off the south west coast of ,Offshore,Offshore,Wales,,196768,194102,Welsh Government (NSIP),DNS/3251528,,,,,,22/12/2021,,,,,,,17/02/2023,,,,,,,,,Planned,POINT (196768 194102)
9803,12597881,11/04/2024,RWE Renewables,Five Estuaries - Wind Farm,Wind Offshore,,,300.0,,No,,,,,3.80,79,320.00,,Planning Application Submitted,Application Submitted,,,Five Estuaries Offshore Wind Farm ,Offshore,Offshore,England,IP11,630357,234771,The Planning Inspectorate - National Infrastructure,EN010115,,,,,,25/03/2024,,,,,,,,,,,,,,,,Planned,POINT (630357 234771)
9873,12601323,01/11/2021,Scottish Southern Energy Renewables ,Berwick Bank Offshore Wind Farm ,Wind Offshore,,,4100.0,,No,,,,,13.30,307,200.00,,Planning Application Submitted,Application Submitted,,,"Berwick Bank Offshore Wind Farm, E/O St Abbs Head, Coastline, Eyemouth",Offshore,Offshore,Scotland,TD14,432997,728012,Marine Scotland,,,,,,,09/12/2022,,,,,,,,,,,,,,,,Planned,POINT (432997 728012)
10772,12623679,14/07/2025,Total Energies / RIDG,West of Orkney Wind Farm,Wind Offshore,,,2000.0,,No,,,,,16.00,125,359.90,,Planning Permission Granted,Awaiting Construction,,,"30km W/O Orkney, Orkney",Offshore,Offshore,Scotland,N1,289696,998864,Marine Scotland,,,,,,,18/09/2023,,,,,,,27/06/2025,,,,,,,,,Planned,POINT (289696 998864)
10918,12627898,28/07/2025,BP Oil UK Limited / ENBW UK Limited,Mona Offshore Wind Farm,Wind Offshore,,,1500.0,,No,,,,,15.60,96,324.00,,Planning Permission Granted,Awaiting Construction,,,30km offshore in the Irish Sea,Offshore,Offshore,England,FY5,278986,416968,The Planning Inspectorate - National Infrastructure,EN010137,,,,,,22/02/2024,,,,,,,04/07/2025,,,,,,,,,Planned,POINT (278986 416968)
11035,12630315,11/07/2024,Orsted / Simply Blue Group,Peterhead - The Salamander Project,Wind Offshore,,11035,100.0,,No,,,,,14.00,7,172.50,,Planning Application Submitted,Application Submitted,,,"INTOG 3, North East Coast off Scotland",Offshore,Offshore,Scotland,AB42,479551,858320,Marine Scotland,,,,,,,24/04/2024,,,,,,,,,,,,,,,,Planned,POINT (479551 858320)
11106,12630942,28/04/2022,EDF Energy Renewables,Blyth Offshore Wind Farm Phase 2 Demonstrator Project,Wind Offshore,,,58.4,,,,,,,,5,,,Planning Permission Granted,Awaiting Construction,,,"Blyth & Newbiggin-by-the-sea, Blyth",Offshore,Offshore,England,,440591,586033,Marine Management Organisation,,,,,,,01/03/2012,,,,,,,09/09/2022,,,,,,,,,Planned,POINT (440591 586033)
11663,12648022,11/04/2024,Green Investment Group / Total Energies,Outer Dowsing Offshore Wind Farm,Wind Offshore,,,1500.0,,No,,,,,15.00,100,403.00,,Planning Application Submitted,Application Submitted,,,"Outer Dowsing Offshore Wind Farm, Lincoln",Offshore,Offshore,England,LN1,641340,395479,The Planning Inspectorate - National Infrastructure,EN010130,,,,,,19/03/2024,,,,,,,,,,,,,,,,Planned,POINT (641340 395479)
11851,12653711,28/05/2024,Flotation Energy / Vårgrønn,Green Volt - Offshore Wind Farm,Wind Offshore,,,560.0,,No,AR6,,,400.00,16.00,35,270.00,,Planning Permission Granted,Awaiting Construction,,,"INTOG 6, North East Coast off Scotland",Offshore,Offshore,Scotland,AB42,399571,807062,Marine Scotland,,,,,,,20/01/2023,,,,,,,19/04/2024,,,,,,,,,Planned,POINT (399571 807062)
11852,12695491,22/09/2025,Flotation Energy / Cobra Instalaciones Servicios,Whitecross - Offshore Wind Farm,Wind Offshore,,,100.0,,No,,,,,12.50,8,284.00,,Planning Permission Granted,Awaiting Construction,,,52km off the North Cornwall and North Devon coast,Offshore,Offshore,England,EX39 4LF,248194,132186,Marine Management Organisation,MLA/2023/00113,,,,,,14/03/2023,,,,,,,16/07/2025,,,,16/07/2030,,,,,Planned,POINT (248194 132186)
11989,12656601,02/08/2023,Highland Wind Limited / Copenhagen Infrastructure Partners / Eurus Energy,Pentland Floating Offshore Wind Farm,Wind Offshore,,,100.0,,No,,,,,14.00,7,300.00,,Planning Permission Granted,Awaiting Construction,,,12 nautical miles 6.5 kilometres off the coast of Dounreay,Offshore,Offshore,Scotland,KW14,311532,968614,Marine Scotland,,,,,,,09/08/2022,,,,,,,28/06/2023,,,,,,,,,Planned,POINT (311532 968614)
12307,12665183,16/12/2024,Ocean Winds,Moray Firth - Caledonia North Offshore Wind Farm,Wind Offshore,,,900.0,,No,,,,,25.00,77,355.00,,Planning Application Submitted,Application Submitted,,,"Caledonia Offshore Wind Farm, Moray Firth, Inverness",Offshore,Offshore,Scotland,IV11,303108,878674,Marine Scotland,,,,,,,04/12/2024,,,,,,,,,,,,,,,,Planned,POINT (303108 878674)
14144,12717336,03/07/2023,SSE / Seagreen Wind Energy Ltd,Seagreen Phase 1A,Wind Offshore,,,540.0,,No,,,,,15.00,36,,,Planning Permission Granted,Awaiting Construction,,,"Firth of Forth Wind Zone 2, Dundee, Tayside",Offshore,Offshore,Scotland,DD4 0AD,404600,749300,Marine Scotland,,,,,19/07/2016,03/01/1900,14/09/2018,,,,,,,06/12/2019,,,,,,,,,Planned,POINT (404600 749300)
17559,12826059,16/12/2024,Ocean Winds,Moray Firth - Caledonia South Offshore Wind Farm,Wind Offshore,,,1100.0,,No,,,,,25.00,78,355.00,,Planning Application Submitted,Application Submitted,,,"Caledonia Offshore Wind Farm, Moray Firth, Inverness",Offshore,Offshore,Scotland,IV11,303108,878674,Marine Scotland,,,,,,,30/09/2022,,,,,,,,,,,,,,,,Planned,POINT (303108 878674)
