Site Name,Operator (or Applicant),Status_Category,Development Status (short),Installed Capacity (MWelec),County,Region,X-coordinate,Y-coordinate,longitude,latitude
Ray Wind Farm,Vattenfall,Operational,Operational,54.4,Northumberland,North East,395550,587550,-2.0714215103852496,55.182219278306725
Griffin Wind farm,Greenpower (Griffin) Ltd,Operational,Operational,156.0,Tayside,Scotland,293600,744600,-3.7337523701724793,56.581222522433
Blackcraig,Blue Energy,Operational,Operational,52.9,Dumfries and Galloway,Scotland,270500,582500,-4.0321180807000685,55.11991239799602
Fullabrook Down Wind Farm,Devon Wind Power Ltd,Operational,Operational,66.0,Devon,South West,253055,141846,-4.1026557745149645,51.156945965554044
Fallago Rig,EDF Energy Renewables,Operational,Operational,144.0,Borders,Scotland,357000,660000,-2.6880276875875873,55.83130753143639
Dunmaglass Wind Farm,Scottish and Southern Energy (SSE),Operational,Operational,94.0,Highland,Scotland,264000,820120,-4.255802337851775,57.25148006944491
Harestanes,Scottish Power Renewables,Operational,Operational,136.0,Dumfries and Galloway,Scotland,300000,595000,-3.5741975868771934,55.23902921304011
Corriemoillie,EDF Energy Renewables,Operational,Operational,54.4,Highland,Scotland,234700,867700,-4.773018029760207,57.66872565617344
Lochluichart,Eneco,Operational,Operational,51.0,Highland,Scotland,232030,866235,-4.816701149722273,57.65459417039496
Clyde Wind Farm Extension (Clyde 2),Scottish and Southern Energy (SSE)/ GIB,Operational,Operational,172.8,Strathclyde,Scotland,302328,624463,-3.547901670328315,55.50414267238306
Harburnhead Wind Farm,Gresham House,Operational,Operational,51.7,Lothian,Scotland,304070,658330,-3.5321721583194177,55.80868120217947
Dorenell Wind Farm (Previously Site A and B Scaut Hill),EDF Energy Renewables/ Infinergy,Operational,Operational,177.0,Grampian,Scotland,332000,829500,-3.131680915723891,57.35089948926072
Keadby Wind Farm,Scottish and Southern Energy (SSE),Operational,Operational,68.0,Humberside,Yorkshire and Humber,481890,413515,-0.7636853474568743,53.611796067349125
Berry Burn,Statkraft,Operational,Operational,66.7,Grampian,Scotland,311550,840550,-3.4753925365795815,57.446611032979845
Dersalloch,Scottish Power Renewables,Operational,Operational,69.0,Strathclyde,Scotland,242150,603950,-4.488218013953557,55.30425719972251
Creag Riabhach Wind Farm,ERG,Operational,Operational,92.4,Highland,Scotland,252589,928364,-4.511210384197758,58.2193005628183
"Aikengall II, Wester Dod Community Wind Farm",Community Windpower,Operational,Operational,60.8,Lothian,Scotland,369468,669455,-2.4900662877040944,55.91720873381597
Galawhistle,Ventient (formerly Infinis),Operational,Operational,66.0,Strathclyde,Scotland,275440,629090,-3.9754222827482066,55.53957495446019
Kennoxhead Wind Farm,Orsted Onshore Limited,Under Construction,Under Construction,62.0,Strathclyde,Scotland,277147,624403,-3.9463100918999765,55.49791780961516
Kilgallioch wind farm,Scottish Power Renewables,Operational,Operational,239.0,Dumfries and Galloway,Scotland,220844,569576,-4.801715850373398,54.98845275791273
Strathy South,Scottish and Southern Energy (SSE),Under Construction,Under Construction,208.0,Highland,Scotland,279050,952050,-4.0735311815665725,58.439953701698855
Brochloch Rig (formerly Windy Standard II),Fred Olsen Renewables,Operational,Operational,90.0,Dumfries and Galloway,Scotland,260200,602000,-4.203148815861893,55.29220785566121
Middle Muir Wind Farm,Banks Renewables,Operational,Operational,51.0,Strathclyde,Scotland,286178,625826,-3.804016992486902,55.51288593375602
Pencloe Wind Farm,North British Wind / Invenergy,Under Construction,Under Construction,81.0,East Ayrshire,Scotland,257641,610606,-4.24778615771635,55.368745639746514
Slieve Rushen Extension,Unknown,Operational,Operational,54.0,Co. Fermanagh,Northern Ireland,33019,491811,-7.62840011815144,54.19028103229392
Clocaenog Forest Wind Farm,RWE Innogy UK,Operational,Operational,96.0,Clwyd,Wales,300324,353682,-3.489152007622376,53.07104094105692
Strathy Wood,E.ON Renewables,Under Construction,Under Construction,62.4,Highland,Scotland,282146,955604,-4.022367417773203,58.47269922512979
South Kyle Wind Farm,Vattenfall,Under Construction,Under Construction,240.0,Strathclyde,Scotland,254576,604980,-4.293183075218487,55.317334518247506
Aikengall IIa Community Wind Farm,Community Windpower,Operational,Operational,81.7,Borders,Scotland,371793,666791,-2.4525902607503536,55.893416376890386
