Site Name,Operator (or Applicant),Status_Category,Development Status (short),Installed Capacity (MWelec),County,Region,X-coordinate,Y-coordinate,longitude,latitude
Cairn Duhie Wind Farm ,Renewable Energy Systems (RES),Planned,Awaiting Construction,67.2,Highland,Scotland,297769,842856,-3.705865641453346,57.464419794428764
Chleansaid Onshore Wind Farm,ESB,Planned,Awaiting Construction,96.0,Highland,Scotland,262000,917000,-4.3444340233802645,58.12036832935588
Artfield Forest Wind Farm,Statkraft UK,Planned,Awaiting Construction,67.2,Dumfries and Galloway,Scotland,243670,669090,-4.501247976033173,55.88949304178763
Earraghail Renewable Energy Development,ScottishPower Renewables,Planned,Application Submitted,78.0,Argyll and Bute,Scotland,188475,663279,-5.377770140417543,55.816300472519096
Carrick Windfarm,ScottishPower Renewables,Planned,Application Submitted,86.0,South Ayrshire,Scotland,237500,597000,-4.557375776489708,55.240355089743595
Craiginmoddie Wind Farm,Energiekontor (UK) Limited,Planned,Application Submitted,92.0,Ayrshire,Scotland,230126,609999,-4.68107911052187,55.35454864009371
Clachaig Glen,RWE UK,Planned,Awaiting Construction,60.0,Argyll and Bute,Scotland,171789,642110,-5.625867385931173,55.61888322953916
Grayside Wind Farm,Grayside WF,Planned,Application Submitted,147.0,South Lanarkshire,Scotland,299800,628300,-3.589297040341785,55.538093997141445
Clashindarroch Wind Farm Extension,Infinergy,Planned,Application Submitted,145.2,Moray,Scotland,340662,829615,-2.9877883222736057,57.35314430409856
Tomchrasky Estate Wind farm,E Power Limited,Planned,Awaiting Construction,84.0,Highland,Scotland,229056,812688,-4.829155289174603,57.1730769928177
Ditcher Law Wind Farm,E Power Ltd,Planned,Application Submitted,59.4,Borders,Scotland,349687,656017,-2.8040229210178986,55.794815559094566
Corriegarth 2,Corriegarth 2 Windfarm Limited,Planned,Awaiting Construction,67.2,Highland,Scotland,265682,835107,-4.23610582118725,57.386499647075155
Loch Liath Wind Farm,Statkraft Wind UK Limited,Planned,Application Submitted,85.0,Highland,Scotland,250516,829147,-4.48452494427434,57.328283243428956
West Torrisdale Wind Farm,ESB Asset Development UK ,Planned,Application Submitted,54.0,Argyll And Bute,Scotland,179349,636137,-5.501281064481637,55.568801807658666
Lethans Wind Farm Extension,Banks Renewables,Planned,Awaiting Construction,66.0,East Ayrshire,Scotland,265931,613981,-4.118704349058207,55.40138567602
 Rowan Wind Farm,Energiekontor UK Limited,Planned,Awaiting Construction,85.8,Strathclyde,Scotland,162178,736488,-5.861841068751648,56.4603469034806
Teviot Wind Farm,Muirhall Energy Limited,Planned,Application Submitted,350.0,Borders,Scotland,340530,605838,-2.9392263509960475,55.34296108891604
Invershin Community Hall - Wind Farm & Battery Storage,Garvary Wind Farm Limited,Planned,Awaiting Construction,222.0,Highland,Scotland,256271,916541,-4.441310815605115,58.11442492960133
Burnside Bhlaraidh - Chrathaich Wind Farm,Muirden Energy Llp,Planned,Awaiting Construction,70.0,Highland,Scotland,250983,829599,-4.477049633254987,57.332492501953006
Rivox Wind Farm - Wind farm,Belltown Power Limited,Planned,Application Submitted,208.0,South Lanarkshire,Scotland,288575,611457,-3.7603214696642357,55.38438771806408
Bunloinn Wind Farm,Energiekontor (UK) Limited,Planned,Awaiting Construction,66.6,Highland,Scotland,217816,807227,-5.010803235285754,57.11976326378934
